stock_id,stock_name,delist_date,drawdown,suspension_days,tail_sessions,shared_date,sign,stratum,purpose,label,form,source
3536,誠創,2023-06-26,0.4991452991452991,76,0,False,ambiguous,mid,prior,distress,,Q1 2023 net worth negative
2366,亞旭電腦,2006-03-01,0.6806282722513088,6,0,False,ambiguous,edge_hi,prior,merger,swap,share swap 7:1 into Asustek 2357
5854,合庫,2011-12-01,0.7235294117647059,13,0,False,merger,edge_hi,prior,merger,swap,share swap into holding co 5880
2822,農民銀行,2006-05-01,0.7706422018348624,13,0,False,merger,clear,prior,merger,swap,merged into 合作金庫 at 2.45:1
3020,奇普仕,2008-01-10,0.989145183175034,8,0,False,merger,clear,prior,merger,swap,"acquired by Arrow Electronics, share conversion"
2452,乾坤,2010-03-31,0.9904761904761904,7,0,False,merger,clear,prior,merger,swap,"share swap 1.07:1 into Delta 2308, 14.6% premium"
3698,隆達,2021-01-06,0.9008097165991904,14,0,True,merger,clear,prior,merger,swap,share swap 0.275 into Ennostar 3714
8480,泰昇-KY,2022-12-21,0.8134615384615385,7,0,False,merger,clear,prior,merger,cash,"cash merger at NT$85, 33.7% premium"
2494,突破,2008-10-27,0.3016666666666667,5,0,False,ambiguous,edge_lo,prior,distress,,"net worth below par, forced delisting"
2389,世昕企業,2005-10-30,0.4439252336448598,12,0,False,ambiguous,mid,prior,distress,,"financial difficulty, operations ceased"
2391,合勤科技,2010-08-16,0.6445182724252491,13,0,False,ambiguous,mid,prior,merger,swap,share swap 1:1 into holding co 3704
6255,奈普,2010-09-15,0.5892255892255892,13,0,False,ambiguous,mid,prior,merger,swap,merged into 輔祥 with share conversion
